Jurisdiction,Report Type,Report Date,Assessment body/bodies ,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,R.1,R.2,R.3,R.4,R.5,R.6,R.7,R.8,R.9,R.10,R.11,R.12,R.13,R.14,R.15,R.16,R.17,R.18,R.19,R.20,R.21,R.22,R.23,R.24,R.25,R.26,R.27,R.28,R.29,R.30,R.31,R.32,R.33,R.34,R.35,R.36,R.37,R.38,R.39,R.40
Republic of the Congo,MER,9/1/2022,GABAC,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,LC,PC,PC,LC,NC,NC,NC,LC,PC,LC,PC,LC,PC,NC,PC,LC,LC,PC,PC,C,PC,PC,PC,PC,PC,LC,NC,LC,PC,C,LC,NC,PC,PC,PC,PC,PC,LC,LC
Republic of the Marshall Islands,MER,11/1/2024,APG,ME,ME,ME,ME,LE,ME,LE,LE,ME,ME,ME,LC,LC,LC,LC,LC,C,C,PC,C,C,C,C,C,LC,PC,C,C,C,LC,LC,C,C,LC,PC,C,LC,LC,LC,LC,LC,LC,PC,NC,LC,C,LC,LC,LC,LC,LC
Romania,MER,7/1/2023,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,PC,C,C,C,PC,PC,PC,PC,LC,LC,PC,PC,PC,PC,LC,LC,LC,LC,LC,LC,PC,LC,PC,LC,LC,LC,PC,LC,C,C,PC,PC,LC,PC,C,LC,C,LC,LC
Russia,MER+FUR,2/1/2024,EAG,SE,SE,ME,ME,SE,HE,ME,SE,HE,ME,ME,LC,C,LC,LC,LC,LC,LC,LC,C,LC,LC,PC,LC,LC,PC,PC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,C,LC,C,LC,LC,LC,LC,LC,LC,LC
Rwanda,MER,7/1/2024,ESAAMLG,LE,LE,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,PC,LC,LC,PC,PC,PC,NC,C,LC,LC,PC,LC,PC,PC,LC,LC,LC,LC,C,C,PC,LC,PC,PC,PC,LC,PC,LC,C,PC,C,PC,PC,PC,PC,PC,LC,PC,PC
Saint Kitts and Nevis,MER,2/1/2022,CFATF,LE,ME,LE,LE,ME,LE,LE,LE,ME,LE,LE,LC,PC,LC,PC,LC,PC,PC,PC,C,PC,LC,C,C,LC,PC,LC,LC,LC,LC,C,C,LC,LC,PC,PC,PC,C,PC,LC,C,C,LC,C,C,PC,PC,LC,C,PC,LC
Saint Lucia,MER+FUR,2/1/2024,CFATF,LE,ME,LE,LE,LE,LE,ME,ME,LE,LE,LE,C,C,LC,LC,C,NC,NC,NC,LC,LC,LC,C,LC,LC,PC,C,C,C,C,C,C,LC,C,PC,PC,NC,C,PC,C,LC,LC,LC,PC,C,LC,LC,LC,PC,LC,LC
Saint Vincent and the Grenadines,MER,1/1/2024,CFATF,SE,SE,ME,ME,ME,SE,ME,ME,LE,LE,LE,LC,LC,C,C,PC,PC,NC,LC,C,LC,C,LC,LC,LC,PC,PC,C,C,C,C,C,LC,C,PC,PC,LC,LC,LC,C,C,LC,LC,C,LC,LC,LC,PC,PC,PC,LC
Samoa,MER+FURs,6/1/2023,APG,ME,SE,LE,ME,ME,LE,LE,ME,ME,ME,LE,PC,LC,LC,LC,LC,PC,NC,PC,C,LC,C,PC,PC,C,PC,PC,PC,C,PC,LC,C,PC,PC,PC,PC,PC,PC,PC,LC,C,LC,LC,LC,PC,PC,LC,LC,LC,LC,LC
San Marino,MER+FUR,5/1/2024,MONEYVAL,SE,HE,ME,ME,ME,SE,ME,SE,SE,ME,ME,LC,C,LC,C,LC,LC,LC,LC,LC,LC,C,C,C,LC,PC,C,LC,LC,C,C,C,LC,LC,PC,LC,PC,LC,PC,C,C,C,C,C,C,LC,LC,C,C,C,LC
Saudi Arabia,MER+FUR,1/1/2020,FATF/MENAFATF,SE,ME,SE,ME,ME,ME,LE,LE,SE,SE,LE,LC,LC,C,LC,C,LC,LC,LC,C,C,C,C,C,C,LC,LC,C,LC,C,C,LC,LC,C,LC,LC,C,C,C,LC,LC,LC,LC,PC,C,C,PC,LC,LC,LC,LC
Senegal,MER+FUR,8/1/2022,GIABA,LE,LE,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,C,LC,C,C,PC,PC,PC,C,PC,LC,PC,LC,LC,PC,PC,LC,LC,NC,C,C,PC,PC,LC,PC,PC,C,PC,LC,LC,C,LC,PC,PC,LC,LC,C,LC,LC,LC
Serbia,MER+FURs,3/1/2024,MONEYVAL,ME,ME,ME,ME,ME,ME,LE,ME,ME,LE,LE,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,C,C,LC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Seychelles,MER+FUR,4/1/2024,ESAAMLG,LE,LE,LE,ME,LE,LE,LE,LE,LE,LE,LE,C,LC,LC,C,LC,PC,PC,PC,C,LC,C,LC,C,C,NC,LC,LC,C,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,PC,LC,LC,C,LC,LC,LC,LC
Sierra Leone,MER,1/1/2021,GIABA,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,LC,LC,LC,PC,NC,NC,C,PC,C,LC,LC,PC,PC,PC,PC,PC,PC,C,C,PC,PC,PC,PC,LC,LC,PC,LC,LC,LC,PC,LC,PC,LC,LC,PC,PC,PC,LC
Singapore,MER+FUR,11/1/2019,FATF/APG,SE,SE,ME,ME,ME,SE,ME,ME,LE,ME,SE,LC,C,C,C,LC,LC,LC,LC,C,C,C,C,C,LC,C,C,C,C,LC,LC,C,PC,LC,LC,C,LC,C,PC,C,C,C,C,LC,LC,PC,C,LC,LC,LC,LC
Slovakia,MER+FURs,12/1/2024,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,LE,ME,ME,ME,LC,C,LC,LC,LC,LC,LC,PC,LC,PC,LC,PC,PC,LC,PC,LC,LC,PC,PC,C,LC,LC,PC,LC,LC,LC,LC,PC,PC,C,LC,PC,C,LC,PC,LC,C,LC,LC,LC
Slovenia,MER+FURs,12/1/2023,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,C,LC,C,LC,LC,LC,C,C,LC,LC,LC,LC,LC,C,LC,C,C,LC,LC,LC,C,C,LC,LC,LC,LC,LC
Solomon Islands,MER,10/1/2019,APG,ME,ME,LE,LE,LE,ME,LE,LE,LE,LE,LE,PC,PC,LC,LC,LC,NC,NC,NC,C,NC,PC,PC,NC,PC,NC,NC,PC,NC,NC,C,C,NC,PC,PC,NC,PC,LC,PC,LC,C,LC,LC,PC,PC,PC,PC,PC,PC,LC,PC
South Africa,MER+FURs,11/1/2024,FATF,ME,ME,ME,ME,LE,ME,ME,ME,LE,LE,ME,LC,LC,LC,LC,C,LC,LC,PC,LC,LC,LC,LC,LC,LC,LC,LC,,LC,LC,LC,C,LC,C,LC,LC,LC,LC,LC,LC,C,C,PC,LC,LC,LC,LC,LC,LC,LC,LC
South Korea,MER+FUR,10/1/2024,FATF,SE,SE,ME,ME,ME,SE,ME,SE,SE,ME,ME,LC,LC,LC,C,LC,PC,PC,LC,LC,LC,C,PC,C,C,C,LC,C,LC,LC,C,C,PC,PC,PC,LC,LC,C,PC,C,C,LC,LC,C,LC,LC,LC,LC,C,LC,LC
Spain,MER+FUR+FUAR,12/1/2019,FATF,SE,SE,SE,SE,SE,HE,SE,SE,SE,ME,SE,C,LC,LC,C,C,PC,PC,LC,C,LC,C,C,C,C,C,C,LC,C,C,C,C,LC,C,LC,LC,LC,C,LC,C,C,C,C,C,C,C,C,C,C,C,C
Sri Lanka,MER+FURs,11/1/2021,APG,ME,LE,LE,LE,LE,LE,LE,LE,SE,LE,LE,LC,LC,LC,PC,C,LC,LC,PC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,C,C,LC,C,NC,LC,PC,C,PC,LC,C,LC,LC,LC,LC,PC,LC,C,LC,LC,PC
Suriname,MER+FUR,11/1/2023,CFATF,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,PC,LC,PC,NC,NC,NC,LC,PC,LC,LC,C,LC,NC,LC,LC,LC,PC,LC,C,LC,PC,NC,NC,PC,PC,PC,PC,PC,PC,PC,LC,C,PC,PC,PC,NC,PC,PC
Sweden,MER+FURs,9/1/2020,FATF,ME,HE,ME,ME,ME,ME,SE,SE,SE,ME,SE,LC,C,LC,LC,LC,PC,PC,LC,C,LC,C,C,LC,C,LC,C,LC,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,C,C,LC,PC,LC,LC,LC,C,LC,LC,C,C
Switzerland,MER+FURs,10/1/2023,FATF,SE,ME,ME,ME,ME,SE,SE,SE,SE,SE,SE,LC,LC,LC,LC,LC,LC,C,LC,C,LC,C,LC,LC,C,LC,LC,LC,LC,C,LC,LC,PC,PC,LC,LC,LC,LC,LC,C,C,LC,LC,C,LC,PC,LC,LC,LC,LC,LC
Tajikistan,MER+FURs,11/1/2024,EAG,SE,SE,ME,ME,ME,ME,LE,ME,SE,ME,LE,LC,C,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,PC,LC,PC,LC,LC,C,C,LC,LC,LC,LC,PC,LC,PC,C,LC,C,LC,LC,LC,LC,C,LC,LC,LC,LC
