Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh",BTC / USD Denominated Closing Price,BTC / Active Addr Cnt,BTC / Tx per Second Cnt,BTC / 30 Day Volatility,BTC / Mean Tx Size (USD),BTC / Miner Supply (USD),BTC / Val in Addrs w/ Bal ? $1M USD,BTC / 30 Day Active Supply,BTC / SER (Supply Equality Ratio),BTC / Miner Revenue per Hash (USD),BTC / Miner Revenue per Hash per Sec (USD),BTC / Total Issuance (USD),"BTC / Mean Hash Rate, 30 Day",BTC / Mean Hash Rate,BTC / Mean Tx Fee (USD),BTC / Mean Difficulty,BTC / Difficulty,BTC / Market Cap (USD),BTC / Mean Block Size (in bytes),BTC / Addr Cnt of Bal ? $1M,BTC / Miner Revenue (USD)
1367107200,2013-04-28T00:00:00,0.21152991490412035,0.000734066,0.040153088,1.8542712340495189,0.006434819,0.35198196564762985,134.6235696,119432,0.494074074,0.187598094,438.3916659,270970124.9,2488940.362,3105995.156,0.00979545,0.087982355,7601.675479,595709.2953,65.44415224,78.96229741,0.106270256,8974296.015,8974296.015,1493145659,124094.339,130,600245.76
1367193600,2013-04-29T00:00:00,0.2153926336616461,0.00074747,0.040886317594797675,1.8881318266779898,0.006552324,0.35840946003599644,143.8103782,88358,0.600949074,0.187841814,779.6754778,289507065.5,2524939.658,3095933.317,0.0098954,0.094256947,8143.800228,625575.1451,66.11217469,77.62395339,0.126709232,8974296.015,8974296.015,1595664561,151039.1552,138,632153.9693
1367280000,2013-04-30T00:00:00,0.21469855108533178,0.000745062,0.040754565268036204,1.8820474988140181,0.00653121,0.3572545191396053,139.1296475,76703,0.5390625,0.188043139,626.9206697,280164640.1,2454007.667,3037279.49,0.009881471,0.082863007,7159.363766,518257.9371,66.6792414,73.26387614,0.134509997,9891394.08,10076292.88,1544247235,177353.7181,128,524522.7402
1367366400,2013-05-01T00:00:00,0.21608582069329293,0.000749876,0.0410179,1.8942083041974056,0.006573411,0.3595629107622026,116.113801,83664,0.656412037,0.190574227,733.1576898,233632878.4,2291162.233,3029237.295,0.010017838,0.067957472,5871.525605,438329.5989,67.00359531,75.63518065,0.10163806,10076292.88,10076292.88,1289224863,172717.4437,106,444093.8998
1367452800,2013-05-02T00:00:00,0.21212276135091504,0.000736123,0.040265623026379885,1.8594681260021215,0.006452854,0.3529684514492461,106.3409847,82318,0.628935185,0.190003056,586.7655366,213965713.5,2235400.016,3015449.218,0.00999212,0.062244425,5377.918354,356242.2987,67.23272434,67.11996164,0.086922615,10076292.88,10076292.88,1181072404,195308.0746,99,360965.6736
1367539200,2013-05-03T00:00:00,0.20896322039061602,0.000725158,0.039665872,1.8317715899441402,0.006356739,0.3477110322409308,96.31684027,82210,0.590173611,0.189347431,491.8344682,193783584.6,1917658.435,3004007.011,0.009972004,0.056369772,4870.34828,329885.1779,67.57851316,68.62264735,0.084936842,10076292.88,10076292.88,1070069482,181475.7518,67,334216.1925
1367625600,2013-05-04T00:00:00,0.21476178140415983,0.000745281,0.040766568,1.8826017757888651,0.006533134,0.35735973325043086,112.4976364,70341,0.585509259,0.191722109,294.9005172,226421369.6,2290019.886,2903530.642,0.010025013,0.065764932,5682.090159,447178.1046,68.52462109,79.64234254,0.105892035,10076292.88,10076292.88,1250283521,159006.3459,105,452534.9708
1367712000,2013-05-05T00:00:00,0.2162813269177289,0.000750554,0.041055011,1.8959221117608114,0.006579359,0.35988822959573274,116.4887158,72046,0.577106481,0.191353852,413.88928,234488049.9,2305306.295,2878701.362,0.010047463,0.068011021,5876.152241,480515.9528,69.43747268,82.64771396,0.10297615,10076292.88,10076292.88,1295120355,153429.7152,107,485650.5496
1367798400,2013-05-06T00:00:00,0.21855921610989754,0.000758459,0.041487405447563803,1.915890088419362,0.006648653,0.3636785961533443,112.1185962,84314,0.6109375,0.191429128,537.2066435,225694004.4,2270685.533,2857212.73,0.010069606,0.065447385,5654.654074,465292.1742,70.13667352,83.14860919,0.092534764,10076292.88,10076292.88,1246998701,160638.5843,104,470176.6217
1367884800,2013-05-07T00:00:00,0.22304787399863946,0.000774036,0.042339453,1.9552376634720736,0.0067852,0.3711476419737204,111.6092129,111196,0.663819444,0.189664062,549.8935017,224651862.8,2271656.404,2838440.182,0.01012843,0.065196524,5632.97965,468758.6941,70.85655315,84.15039967,0.091690114,10076292.88,10076292.88,1241802028,173626.6548,104,474017.4889
